"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.526","","10/01/2013","09/30/2014"
"AL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.588","","10/01/2013","09/30/2014"
"AR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.510","","10/01/2013","09/30/2014"
"AS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"AZ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.470","","10/01/2013","09/30/2014"
"CA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.409","","10/01/2013","09/30/2014"
"CO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.438","","10/01/2013","09/30/2014"
"CT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.469","","10/01/2013","09/30/2014"
"DC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.481","","10/01/2013","09/30/2014"
"DE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.413","","10/01/2013","09/30/2014"
"FL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.516","","10/01/2013","09/30/2014"
"GA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.605","","10/01/2013","09/30/2014"
"GU","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","5 - Results are not available for this reporting period.","10/01/2013","09/30/2014"
"HI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.187","","10/01/2013","09/30/2014"
"IA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.468","","10/01/2013","09/30/2014"
"ID","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.326","","10/01/2013","09/30/2014"
"IL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.426","","10/01/2013","09/30/2014"
"IN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.603","","10/01/2013","09/30/2014"
"KS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.435","","10/01/2013","09/30/2014"
"KY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.552","","10/01/2013","09/30/2014"
"LA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.630","","10/01/2013","09/30/2014"
"MA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.391","","10/01/2013","09/30/2014"
"MD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.527","","10/01/2013","09/30/2014"
"ME","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.600","","10/01/2013","09/30/2014"
"MI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.380","","10/01/2013","09/30/2014"
"MN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.397","","10/01/2013","09/30/2014"
"MO","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.384","","10/01/2013","09/30/2014"
"MP","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","10/01/2013","09/30/2014"
"MS","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.742","","10/01/2013","09/30/2014"
"MT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.664","","10/01/2013","09/30/2014"
"NC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.434","","10/01/2013","09/30/2014"
"ND","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.395","","10/01/2013","09/30/2014"
"NE","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.552","","10/01/2013","09/30/2014"
"NH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.513","","10/01/2013","09/30/2014"
"NJ","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.587","","10/01/2013","09/30/2014"
"NM","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.583","","10/01/2013","09/30/2014"
"NV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.475","","10/01/2013","09/30/2014"
"NY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.434","","10/01/2013","09/30/2014"
"OH","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.382","","10/01/2013","09/30/2014"
"OK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.390","","10/01/2013","09/30/2014"
"OR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.276","","10/01/2013","09/30/2014"
"PA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.405","","10/01/2013","09/30/2014"
"PR","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.638","","10/01/2013","09/30/2014"
"RI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.551","","10/01/2013","09/30/2014"
"SC","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.459","","10/01/2013","09/30/2014"
"SD","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.275","","10/01/2013","09/30/2014"
"TN","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.474","","10/01/2013","09/30/2014"
"TX","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.484","","10/01/2013","09/30/2014"
"UT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.448","","10/01/2013","09/30/2014"
"VA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.348","","10/01/2013","09/30/2014"
"VI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","1.660","","10/01/2013","09/30/2014"
"VT","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.447","","10/01/2013","09/30/2014"
"WA","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.439","","10/01/2013","09/30/2014"
"WI","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.331","","10/01/2013","09/30/2014"
"WV","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.479","","10/01/2013","09/30/2014"
"WY","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.552","","10/01/2013","09/30/2014"
"AK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.913","","10/01/2013","09/30/2014"
"AL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.666","","10/01/2013","09/30/2014"
