State,Measure ID,Measure Name,Score,Footnote,Measure Start Date,Measure End Date
AK,OP_10,Abdomen CT Use of Contrast Material,5.9,,07/01/2013,06/30/2014
AK,OP_11,Thorax CT Use of Contrast Material,0.9,,07/01/2013,06/30/2014
AK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2013,06/30/2014
AK,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.9,,07/01/2013,06/30/2014
AK,OP_8,MRI Lumbar Spine for Low Back Pain,52.2,,07/01/2013,06/30/2014
AK,OP_9,Mammography Follow-up Rates,8.9,,07/01/2013,06/30/2014
AL,OP_10,Abdomen CT Use of Contrast Material,16.3,,07/01/2013,06/30/2014
AL,OP_11,Thorax CT Use of Contrast Material,3.2,,07/01/2013,06/30/2014
AL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.8,,07/01/2013,06/30/2014
AL,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.4,,07/01/2013,06/30/2014
AL,OP_8,MRI Lumbar Spine for Low Back Pain,46.1,,07/01/2013,06/30/2014
AL,OP_9,Mammography Follow-up Rates,7.6,,07/01/2013,06/30/2014
AR,OP_10,Abdomen CT Use of Contrast Material,14.9,,07/01/2013,06/30/2014
AR,OP_11,Thorax CT Use of Contrast Material,4.4,,07/01/2013,06/30/2014
AR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2013,06/30/2014
AR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2013,06/30/2014
AR,OP_8,MRI Lumbar Spine for Low Back Pain,48.7,,07/01/2013,06/30/2014
AR,OP_9,Mammography Follow-up Rates,11.1,,07/01/2013,06/30/2014
AS,OP_10,Abdomen CT Use of Contrast Material,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
AS,OP_11,Thorax CT Use of Contrast Material,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
AS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
AS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
AS,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
AS,OP_9,Mammography Follow-up Rates,Not Available,5 - Results are not available for this reporting period.,07/01/2013,06/30/2014
AZ,OP_10,Abdomen CT Use of Contrast Material,8.6,,07/01/2013,06/30/2014
AZ,OP_11,Thorax CT Use of Contrast Material,4.9,,07/01/2013,06/30/2014
AZ,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.0,,07/01/2013,06/30/2014
AZ,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.3,,07/01/2013,06/30/2014
AZ,OP_8,MRI Lumbar Spine for Low Back Pain,46.4,,07/01/2013,06/30/2014
AZ,OP_9,Mammography Follow-up Rates,8.8,,07/01/2013,06/30/2014
CA,OP_10,Abdomen CT Use of Contrast Material,11.8,,07/01/2013,06/30/2014
CA,OP_11,Thorax CT Use of Contrast Material,2.3,,07/01/2013,06/30/2014
CA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2013,06/30/2014
CA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2013,06/30/2014
CA,OP_8,MRI Lumbar Spine for Low Back Pain,44.9,,07/01/2013,06/30/2014
CA,OP_9,Mammography Follow-up Rates,8.2,,07/01/2013,06/30/2014
CO,OP_10,Abdomen CT Use of Contrast Material,9.0,,07/01/2013,06/30/2014
CO,OP_11,Thorax CT Use of Contrast Material,2.5,,07/01/2013,06/30/2014
CO,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.7,,07/01/2013,06/30/2014
CO,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2013,06/30/2014
CO,OP_8,MRI Lumbar Spine for Low Back Pain,49.0,,07/01/2013,06/30/2014
CO,OP_9,Mammography Follow-up Rates,8.9,,07/01/2013,06/30/2014
CT,OP_10,Abdomen CT Use of Contrast Material,5.1,,07/01/2013,06/30/2014
CT,OP_11,Thorax CT Use of Contrast Material,0.4,,07/01/2013,06/30/2014
CT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2013,06/30/2014
CT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2013,06/30/2014
CT,OP_8,MRI Lumbar Spine for Low Back Pain,41.4,,07/01/2013,06/30/2014
CT,OP_9,Mammography Follow-up Rates,20.7,,07/01/2013,06/30/2014
DC,OP_10,Abdomen CT Use of Contrast Material,4.0,,07/01/2013,06/30/2014
DC,OP_11,Thorax CT Use of Contrast Material,1.3,,07/01/2013,06/30/2014
DC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,8.0,,07/01/2013,06/30/2014
DC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,4.5,,07/01/2013,06/30/2014
DC,OP_8,MRI Lumbar Spine for Low Back Pain,48.2,,07/01/2013,06/30/2014
DC,OP_9,Mammography Follow-up Rates,7.8,,07/01/2013,06/30/2014
DE,OP_10,Abdomen CT Use of Contrast Material,4.7,,07/01/2013,06/30/2014
DE,OP_11,Thorax CT Use of Contrast Material,0.6,,07/01/2013,06/30/2014
DE,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2013,06/30/2014
DE,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.5,,07/01/2013,06/30/2014
DE,OP_8,MRI Lumbar Spine for Low Back Pain,38.0,,07/01/2013,06/30/2014
DE,OP_9,Mammography Follow-up Rates,8.9,,07/01/2013,06/30/2014
FL,OP_10,Abdomen CT Use of Contrast Material,10.8,,07/01/2013,06/30/2014
FL,OP_11,Thorax CT Use of Contrast Material,2.2,,07/01/2013,06/30/2014
FL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,6.2,,07/01/2013,06/30/2014
FL,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.5,,07/01/2013,06/30/2014
FL,OP_8,MRI Lumbar Spine for Low Back Pain,42.2,,07/01/2013,06/30/2014
FL,OP_9,Mammography Follow-up Rates,10.0,,07/01/2013,06/30/2014
GA,OP_10,Abdomen CT Use of Contrast Material,9.3,,07/01/2013,06/30/2014
GA,OP_11,Thorax CT Use of Contrast Material,3.3,,07/01/2013,06/30/2014
GA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.3,,07/01/2013,06/30/2014
GA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.4,,07/01/2013,06/30/2014
GA,OP_8,MRI Lumbar Spine for Low Back Pain,42.6,,07/01/2013,06/30/2014
GA,OP_9,Mammography Follow-up Rates,8.8,,07/01/2013,06/30/2014
GU,OP_10,Abdomen CT Use of Contrast Material,1.2,,07/01/2013,06/30/2014
GU,OP_11,Thorax CT Use of Contrast Material,7.4,,07/01/2013,06/30/2014
