"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","194","","10/01/2013","09/30/2014"
"AL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","61","","10/01/2013","09/30/2014"
"AR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","56","","10/01/2013","09/30/2014"
"AS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","10/01/2013","09/30/2014"
"AZ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","10/01/2013","09/30/2014"
"CA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","62","","10/01/2013","09/30/2014"
"CO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","55","","10/01/2013","09/30/2014"
"CT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","10/01/2013","09/30/2014"
"DC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","128","","10/01/2013","09/30/2014"
"DE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","90","","10/01/2013","09/30/2014"
"FL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","55","","10/01/2013","09/30/2014"
"GA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","65","","10/01/2013","09/30/2014"
"GU","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","10/01/2013","09/30/2014"
"HI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","102","","10/01/2013","09/30/2014"
"IA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","63","","10/01/2013","09/30/2014"
"ID","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","80","","10/01/2013","09/30/2014"
"IL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","59","","10/01/2013","09/30/2014"
"IN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","45","","10/01/2013","09/30/2014"
"KS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","68","","10/01/2013","09/30/2014"
"KY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","10/01/2013","09/30/2014"
"LA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","86","","10/01/2013","09/30/2014"
"MA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","56","","10/01/2013","09/30/2014"
"MD","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","71","","10/01/2013","09/30/2014"
"ME","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","41","","10/01/2013","09/30/2014"
"MI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","48","","10/01/2013","09/30/2014"
"MN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","10/01/2013","09/30/2014"
"MO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","61","","10/01/2013","09/30/2014"
"MP","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","10/01/2013","09/30/2014"
"MS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","68","","10/01/2013","09/30/2014"
"MT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","112","","10/01/2013","09/30/2014"
"NC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","46","","10/01/2013","09/30/2014"
"ND","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","142","","10/01/2013","09/30/2014"
"NE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","90","","10/01/2013","09/30/2014"
"NH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","46","","10/01/2013","09/30/2014"
"NJ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","72","","10/01/2013","09/30/2014"
"NM","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","128","","10/01/2013","09/30/2014"
"NV","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","60","","10/01/2013","09/30/2014"
"NY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","74","","10/01/2013","09/30/2014"
"OH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","56","","10/01/2013","09/30/2014"
"OK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","69","","10/01/2013","09/30/2014"
"OR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","51","","10/01/2013","09/30/2014"
"PA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","65","","10/01/2013","09/30/2014"
