"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"AK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","1","","04/01/2011","03/31/2014"
"AL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","44","0","12","","04/01/2011","03/31/2014"
"AR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","27","1","9","","04/01/2011","03/31/2014"
"AS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2011","03/31/2014"
"AZ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","47","0","9","","04/01/2011","03/31/2014"
"CA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","204","6","86","","04/01/2011","03/31/2014"
"CO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","47","1","7","","04/01/2011","03/31/2014"
"CT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","5","23","1","0","","04/01/2011","03/31/2014"
"DC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","0","2","","04/01/2011","03/31/2014"
"DE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","3","2","1","","04/01/2011","03/31/2014"
"FL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","142","6","16","","04/01/2011","03/31/2014"
"GA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","73","2","19","","04/01/2011","03/31/2014"
"GU","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2011","03/31/2014"
"HI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","7","","04/01/2011","03/31/2014"
"IA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","48","1","16","","04/01/2011","03/31/2014"
"ID","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","4","","04/01/2011","03/31/2014"
"IL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","110","1","25","","04/01/2011","03/31/2014"
"IN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","75","3","28","","04/01/2011","03/31/2014"
"KS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","43","2","12","","04/01/2011","03/31/2014"
"KY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","40","1","17","","04/01/2011","03/31/2014"
"LA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","55","0","19","","04/01/2011","03/31/2014"
"MA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","55","2","4","","04/01/2011","03/31/2014"
"MD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","42","0","3","","04/01/2011","03/31/2014"
"ME","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","27","0","6","","04/01/2011","03/31/2014"
"MI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","92","3","20","","04/01/2011","03/31/2014"
"MN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","63","1","21","","04/01/2011","03/31/2014"
"MO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","67","2","11","","04/01/2011","03/31/2014"
"MP","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2011","03/31/2014"
"MS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","27","1","8","","04/01/2011","03/31/2014"
"MT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","20","0","6","","04/01/2011","03/31/2014"
"NC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","79","2","8","","04/01/2011","03/31/2014"
"ND","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","0","","04/01/2011","03/31/2014"
"NE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","36","1","13","","04/01/2011","03/31/2014"
"NH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","21","1","1","","04/01/2011","03/31/2014"
"NJ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","51","0","12","","04/01/2011","03/31/2014"
"NM","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","20","0","7","","04/01/2011","03/31/2014"
"NV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","1","","04/01/2011","03/31/2014"
