Hospital_Name,Provider ID,State,Fiscal Year,Domain_1_Score,AHRQ_PSI_90_Score,Domain_1_Start_Date,Domain_1_End_Date,Domain_2_Score,CLABSI_Score,CAUTI_Score,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score,Footnotes
"ALBANY MEMORIAL HOSPITAL","330003","NY","2015","3.0000","3","07/01/2011","06/30/2013","7.0000","9","5","01/01/2012","12/31/2013","5.6000",""
"HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS","330004","NY","2015","2.0000","2","07/01/2011","06/30/2013","1.5000","1","2","01/01/2012","12/31/2013","1.6750",""
"KALEIDA HEALTH","330005","NY","2015","9.0000","9","07/01/2011","06/30/2013","8.5000","8","9","01/01/2012","12/31/2013","8.6750",""
"ST JOSEPH'S MEDICAL CENTER","330006","NY","2015","4.0000","4","07/01/2011","06/30/2013","9.0000","10","8","01/01/2012","12/31/2013","7.2500",""
"WYOMING COUNTY COMMUNITY HOSPITAL","330008","NY","2015","8.0000","8","07/01/2011","06/30/2013","N/A","N/A","N/A","01/01/2012","12/31/2013","8.0000",""
"BRONX-LEBANON HOSPITAL CENTER","330009","NY","2015","7.0000","7","07/01/2011","06/30/2013","5.5000","6","5","01/01/2012","12/31/2013","6.0250",""
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","330011","NY","2015","9.0000","9","07/01/2011","06/30/2013","2.0000","3","1","01/01/2012","12/31/2013","4.4500",""
"ALBANY MEDICAL CENTER HOSPITAL","330013","NY","2015","7.0000","7","07/01/2011","06/30/2013","5.5000","3","8","01/01/2012","12/31/2013","6.0250",""
"JAMAICA HOSPITAL MEDICAL CENTER","330014","NY","2015","3.0000","3","07/01/2011","06/30/2013","10.0000","10","10","01/01/2012","12/31/2013","7.5500",""
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.","330019","NY","2015","1.0000","1","07/01/2011","06/30/2013","5.0000","7","3","01/01/2012","12/31/2013","3.6000",""
"VASSAR BROTHERS MEDICAL CENTER","330023","NY","2015","3.0000","3","07/01/2011","06/30/2013","5.0000","6","4","01/01/2012","12/31/2013","4.3000",""
"MOUNT SINAI HOSPITAL","330024","NY","2015","8.0000","8","07/01/2011","06/30/2013","4.0000","6","2","01/01/2012","12/31/2013","5.4000",""
"RICHMOND UNIVERSITY MEDICAL CENTER","330028","NY","2015","9.0000","9","07/01/2011","06/30/2013","4.5000","6","3","01/01/2012","12/31/2013","6.0750",""
"NEWARK-WAYNE COMMUNITY HOSPITAL","330030","NY","2015","4.0000","4","07/01/2011","06/30/2013","2.5000","4","1","01/01/2012","12/31/2013","3.0250",""
"CHENANGO MEMORIAL HOSPITAL, INC","330033","NY","2015","8.0000","8","07/01/2011","06/30/2013","5.0000","N/A","5","01/01/2012","12/31/2013","6.0500",""
"SOUTHSIDE HOSPITAL","330043","NY","2015","8.0000","8","07/01/2011","06/30/2013","8.0000","6","10","01/01/2012","12/31/2013","8.0000",""
"FAXTON-ST LUKE'S HEALTHCARE","330044","NY","2015","8.0000","8","07/01/2011","06/30/2013","8.0000","9","7","01/01/2012","12/31/2013","8.0000",""
"HUNTINGTON HOSPITAL","330045","NY","2015","2.0000","2","07/01/2011","06/30/2013","8.0000","7","9","01/01/2012","12/31/2013","5.9000",""
"ST LUKE'S ROOSEVELT HOSPITAL","330046","NY","2015","10.0000","10","07/01/2011","06/30/2013","7.0000","6","8","01/01/2012","12/31/2013","8.0500",""
"NORTHERN DUTCHESS HOSPITAL","330049","NY","2015","2.0000","2","07/01/2011","06/30/2013","5.0000","N/A","5","01/01/2012","12/31/2013","3.9500",""
