Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,Start_Date,End_Date
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","HOUSTON","Hours of physical-restraint use","0.79","40","2114","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","63","","0.81","40","2051","","Hours of seclusion","0.55","28","2114","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","63","","0.57","28","2051","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","0.00","0","61","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","0.00","0","61","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","Hours of physical-restraint use","0.01","1.4","4402","","Not Available","0","0","7","Not Available","0","0","7","0.07","1.37","843","","0.00",".03","3559","","Hours of seclusion","0.00","0","4402","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","843","","0.00","0","3559","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","92.23","190","206","","Not Available","0","0","7","Not Available","0","0","7","89.29","25","28","","92.70","165","178","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","20.39","42","206","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","Hours of physical-restraint use","23.69","53.44","94","","Not Available","0","0","7","Not Available","0","0","7","23.69","53.44","94","","Not Available","0","0","7","Hours of seclusion","3.37","5.17","64","","Not Available","0","0","7","Not Available","0","0","7","3.37","5.17","64","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","23.47","23","98","","Not Available","0","0","7","Not Available","0","0","7","23.47","23","98","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00","23","23","","Not Available","0","0","7","Not Available","0","0","7","100.00","23","23","","Not Available","0","0","7","Post-discharge continuing care plan created","100.00","132","132","","Not Available","0","0","7","Not Available","0","0","7","100.00","132","132","","Not Available","0","0","7","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","132","132","","Not Available","0","0","7","Not Available","0","0","7","100.00","132","132","","Not Available","0","0","7","04/01/2013","12/31/2013"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","JEFFERSON","Hours of physical-restraint use","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Hours of seclusion","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","18.54","28","151","","Not Available","0","0","7","Not Available","0","0","7","20.69","12","58","","17.20","16","93","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","90.24","185","205","","Not Available","0","0","7","Not Available","0","0","7","89.87","71","79","","90.48","114","126","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","62.44","128","205","","Not Available","0","0","7","Not Available","0","0","7","55.70","44","79","","66.67","84","126","","04/01/2013","12/31/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DE KALB","Hours of physical-restraint use","0.00","0","4212","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","766","","0.00","0","3446","","Hours of seclusion","0.00","0","4212","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","766","","0.00","0","3446","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00","222","222","","Not Available","0","0","7","Not Available","0","0","7","100.00","48","48","","100.00","174","174","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00","222","222","","Not Available","0","0","7","Not Available","0","0","7","100.00","48","48","","100.00","174","174","","04/01/2013","12/31/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","SHELBY","Hours of physical-restraint use","0.00","0","4953","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2008","","0.00","0","2945","","Hours of seclusion","0.00","0","4953","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","2008","","0.00","0","2945","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","23.63","56","237","","Not Available","0","0","7","Not Available","0","0","7","28.57","20","70","","21.56","36","167","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","23.63","56","237","","Not Available","0","0","7","Not Available","0","0","7","28.57","20","70","","21.56","36","167","","04/01/2013","12/31/2013"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","DALE","Hours of physical-restraint use","0.00","0","2320","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1194","","0.00","0","1126","","Hours of seclusion","0.00","0","2320","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1194","","0.00","0","1126","","Patients discharged on multiple antipsychotic medications","11.94","24","201","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","95.83","23","24","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","86.57","174","201","","Not Available","0","0","7","Not Available","0","0","7","88.04","81","92","","85.32","93","109","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","86.07","173","201","","Not Available","0","0","7","Not Available","0","0","7","88.04","81","92","","84.40","92","109","","04/01/2013","12/31/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","MONTGOMERY","Hours of physical-restraint use","0.08","18.18","9226","","Not Available","0","0","7","Not Available","0","0","7","0.11","18.15","6693","","0.00",".03","2533","","Hours of seclusion","0.03","6.84","9226","","Not Available","0","0","7","Not Available","0","0","7","0.04","6.84","6693","","0.00","0","2533","","Patients discharged on multiple antipsychotic medications","12.32","34","276","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","89.11","442","496","","Not Available","0","0","7","Not Available","0","0","7","88.86","319","359","","89.78","123","137","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","80.85","401","496","","Not Available","0","0","7","Not Available","0","0","7","81.06","291","359","","80.29","110","137","","04/01/2013","12/31/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","Hours of physical-restraint use","2.12","1212.99","23846","","0.00","0","185","","9.84","907.12","3840","","0.66","282.93","17827","","0.48","22.94","1994","","Hours of seclusion","0.46","263.23","23846","","0.00","0","185","","0.52","47.58","3840","","0.50","213.15","17827","","0.05","2.5","1994","","Patients discharged on multiple antipsychotic medications","11.76","34","289","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00","0","28","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","39.93","220","551","","60.00","15","25","","54.89","73","133","","35.42","102","288","","28.57","30","105","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","0.00","0","551","","0.00","0","25","","0.00","0","133","","0.00","0","288","","0.00","0","105","","04/01/2013","12/31/2013"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","ELMORE","Hours of physical-restraint use","0.00","0","1890","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","103","","0.00","0","1787","","Hours of seclusion","0.00","0","1890","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","103","","0.00","0","1787","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","18.66","25","134","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","17.16","23","134","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","04/01/2013","12/31/2013"
