"Measure Name","Measure ID","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"ACS Participation data","ACS_REGISTRY","3Q2013","2013-07-01 00:00:00","2Q2014","2014-06-30 00:00:00"
"Statin Prescribed at Discharge","AMI_10","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Aspirin Prescribed at Discharge","AMI_2","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival","AMI_7a","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI_8a","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Relievers for Inpatient Asthma","CAC_1","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Systemic Corticosteroids for Inpatient Asthma","CAC_2","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver","CAC_3","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Complication Rate Following Elective Primary  Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","COMP_HIP_KNEE","2Q2011","2011-04-01 00:00:00","1Q2014","2014-03-31 00:00:00"
"Median Time from ED Arrival to ED Departure for Admitted ED Patients","ED_1b","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Admit Decision Time to ED Departure Time for Admitted Patients","ED_2b","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Emergency Department Volume","EDV","1Q2013","2013-01-01 00:00:00","4Q2013","2013-12-31 00:00:00"
"Central Line Associated Bloodstream Infection","HAI_1","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Catheter Associated Urinary Tract Infections","HAI_2","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"SSI - Colon Surgery","HAI_3","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"SSI - Abdominal Hysterectomy","HAI_4","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"MRSA Bacteremia","HAI_5","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Clostridium Difficile (C.Diff)","HAI_6","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Patient satisfaction survey results","HCAHPS","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Discharge Instructions","HF_1","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Evaluation of LVS Function","HF_2","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"ACEI or ARB for LVSD","HF_3","4Q2013","2013-10-01 00:00:00","3Q2014","2014-09-30 00:00:00"
"Influenza Immunization","IMM_2","4Q2013","2013-10-01 00:00:00","1Q2014","2014-03-31 00:00:00"
"Healthcare Personnel Influenza Vaccination","IMM_3","4Q2013","2013-10-01 00:00:00","1Q2014","2014-03-31 00:00:00"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","3Q2011","2011-07-01 00:00:00","2Q2014","2014-06-30 00:00:00"
