Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Start_Date,End_Date
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","OP-26","100","306","198","1399","513","1209","8","01/01/2013","12/31/2013"
"010005","MARSHALL MEDICAL CENTERS","OP-26","3473","116","1047","1023","5862","279","281","01/01/2013","12/31/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","OP-26","5470","0","61","192","53","281","919","01/01/2013","12/31/2013"
"010007","MIZELL MEMORIAL HOSPITAL","OP-26","403","94","0","10","21","26","15","01/01/2013","12/31/2013"
"010008","CRENSHAW COMMUNITY HOSPITAL","OP-26","239","0","0","0","17","0","0","01/01/2013","12/31/2013"
"010011","ST. VINCENT'S EAST","OP-26","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","01/01/2013","12/31/2013"
"010012","DEKALB REGIONAL MEDICAL CENTER","OP-26","1904","113","456","365","731","37","149","01/01/2013","12/31/2013"
"010016","SHELBY BAPTIST MEDICAL CENTER","OP-26","3393","0","112","1325","1567","552","278","01/01/2013","12/31/2013"
"010018","CALLAHAN EYE HOSPITAL","OP-26","0","6036","0","0","260","0","0","01/01/2013","12/31/2013"
"010019","HELEN KELLER HOSPITAL","OP-26","1994","424","775","426","1204","552","102","01/01/2013","12/31/2013"
"010021","DALE MEDICAL CENTER","OP-26","283","0","111","120","28","69","5","01/01/2013","12/31/2013"
"010022","CHEROKEE MEDICAL CENTER","OP-26","328","121","98","0","4","0","3","01/01/2013","12/31/2013"
"010023","BAPTIST MEDICAL CENTER SOUTH","OP-26","228","278","88","432","376","327","591","01/01/2013","12/31/2013"
"010024","JACKSON HOSPITAL & CLINIC INC","OP-26","914","31","192","438","80","674","554","01/01/2013","12/31/2013"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","OP-26","2595","941","1737","1246","1727","819","1942","01/01/2013","12/31/2013"
"010032","WEDOWEE HOSPITAL","OP-26","27","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","OP-26","4332","0","24","862","173","681","2066","01/01/2013","12/31/2013"
"010034","COMMUNITY HOSPITAL INC","OP-26","716","45","35","102","6","9","6","01/01/2013","12/31/2013"
"010035","CULLMAN REGIONAL MEDICAL CENTER","OP-26","1923","1333","1640","574","94","574","83","01/01/2013","12/31/2013"
"010036","ANDALUSIA REGIONAL HOSPITAL","OP-26","366","99","87","260","935","109","36","01/01/2013","12/31/2013"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","OP-26","1697","72","82","199","76","84","129","01/01/2013","12/31/2013"
"010039","HUNTSVILLE HOSPITAL","OP-26","17809","1122","45902","16190","13426","7231","3225","01/01/2013","12/31/2013"
"010040","GADSDEN REGIONAL MEDICAL CENTER","OP-26","2231","0","800","740","106","421","253","01/01/2013","12/31/2013"
"010044","MARION REGIONAL MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010045","FAYETTE MEDICAL CENTER","OP-26","356","212","20","18","331","21","16","01/01/2013","12/31/2013"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","OP-26","3883","0","17","1158","664","272","1295","01/01/2013","12/31/2013"
"010047","GEORGIANA MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010049","MEDICAL CENTER ENTERPRISE","OP-26","998","27","91","251","62","33","30","01/01/2013","12/31/2013"
"010051","GREENE COUNTY HEALTH SYSTEM","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010054","DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS","OP-26","193","1705","690","144","122","833","2","01/01/2013","12/31/2013"
"010055","FLOWERS HOSPITAL","OP-26","2734","10","1890","728","1649","1487","575","01/01/2013","12/31/2013"
"010056","ST VINCENT'S BIRMINGHAM","OP-26","6334","0","6183","4202","247","745","1287","01/01/2013","12/31/2013"
"010058","BIBB MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","01/01/2013","12/31/2013"
"010059","LAWRENCE MEDICAL CENTER","OP-26","404","0","0","0","104","0","0","01/01/2013","12/31/2013"
"010061","HIGHLANDS MEDICAL CENTER","OP-26","1925","213","99","70","43","137","18","01/01/2013","12/31/2013"
"010062","WIREGRASS MEDICAL CENTER","OP-26","766","0","0","0","333","36","0","01/01/2013","12/31/2013"
"010065","RUSSELL HOSPITAL","OP-26","978","702","239","310","41","379","140","01/01/2013","12/31/2013"
"010069","MEDICAL CENTER BARBOUR","OP-26","178","0","15","3","167","51","2","01/01/2013","12/31/2013"
