Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,AMI-7a Performance Rate,AMI-7a Achievement Points,AMI-7a Improvement Points,AMI-7a Measure Score,AMI-8a Performance Rate,AMI-8a Achievement Points,AMI-8a Improvement Points,AMI-8a Measure Score,AMI Condition/Procedure Score
"420072","HAMPTON REGIONAL MEDICAL CENTER","595 WEST CAROLINA AVENUE","Varnville","SC","29944","HAMPTON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450587","BROWNWOOD REGIONAL MEDICAL CENTER","1501 BURNET DR","Brownwood","TX","76801","BROWN","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450419","TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE","108 DENVER TRAIL","Azle","TX","76020","TARRANT","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"450656","NACOGDOCHES MEDICAL CENTER","4920 NE STALLINGS DRIVE","Nacogdoches","TX","75961","NACOGDOCHES","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"380007","LEGACY EMANUEL MEDICAL CENTER","2801 N GANTENBEIN AVENUE","Portland","OR","97227","MULTNOMAH","Not Available","Not Available","Not Available","Not Available","0.88889","0 out of 10","0 out of 9","0 out of 10","0"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","Pine Bluff","AR","71603","JEFFERSON","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"230089","BEAUMONT HOSPITAL, GROSSE POINTE","468 CADIEUX RD","Grosse Pointe","MI","48230","WAYNE","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","Not Available","10 out of 10","10"
"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","Hartford","CT","06102","HARTFORD","Not Available","Not Available","Not Available","Not Available","0.98077","6 out of 10","8 out of 9","8 out of 10","8"
"170006","VIA CHRISTI HOSPITAL PITTSBURG INC","1 MT CARMEL WAY","Pittsburg","KS","66762","CRAWFORD","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","Freehold","NJ","07728","MONMOUTH","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"330125","ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVENUE","Rochester","NY","14621","MONROE","Not Available","Not Available","Not Available","Not Available","0.93243","0 out of 10","3 out of 9","3 out of 10","3"
