Provider Number,Hospital Name,Address,City,State,Zip Code,County Name,SCIP-Inf-1 Performance Rate,SCIP-Inf-1 Achievement Points,SCIP-Inf-1 Improvement Points,SCIP-Inf-1 Measure Score,SCIP-Inf-2 Performance Rate,SCIP-Inf-2 Achievement Points,SCIP-Inf-2 Improvement Points,SCIP-Inf-2 Measure Score,SCIP-Inf-3 Performance Rate,SCIP-Inf-3 Achievement Points,SCIP-Inf-3 Improvement Points,SCIP-Inf-3 Measure Score,SCIP-Inf-4 Performance Rate,SCIP-Inf-4 Achievement Points,SCIP-Inf-4 Improvement Points,SCIP-Inf-4 Measure Score,SCIP-Inf-9 Performance Rate,SCIP-Inf-9 Achievement Points,SCIP-Inf-9 Improvement Points,SCIP-Inf-9 Measure Score,HAI Condition/Procedure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","Dothan","AL","36301","HOUSTON","0.99703","8 out of 10","4 out of 9","8 out of 10","0.99405","6 out of 10","0 out of 9","6 out of 10","0.96096","0 out of 10","4 out of 9","4 out of 10","0.96581","2 out of 10","5 out of 9","5 out of 10","0.90785","0 out of 10","3 out of 9","3 out of 10","26"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","Boaz","AL","35957","MARSHALL","0.99180","4 out of 10","7 out of 9","7 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.99065","8 out of 10","2 out of 9","8 out of 10","35"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","Florence","AL","35631","LAUDERDALE","0.99412","6 out of 10","0 out of 9","6 out of 10","0.99707","8 out of 10","6 out of 9","8 out of 10","0.98777","5 out of 10","0 out of 9","5 out of 10","0.97753","5 out of 10","6 out of 9","6 out of 10","0.97674","5 out of 10","5 out of 9","5 out of 10","30"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","Opp","AL","36467","COVINGTON","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","40"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","Luverne","AL","36049","CRENSHAW","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","Birmingham","AL","35235","JEFFERSON","0.99715","8 out of 10","0 out of 9","8 out of 10","0.99712","8 out of 10","8 out of 9","8 out of 10","0.98507","4 out of 10","5 out of 9","5 out of 10","0.89908","0 out of 10","3 out of 9","3 out of 10","0.98235","6 out of 10","0 out of 9","6 out of 10","30"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","Fort Payne","AL","35968","DE KALB","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","9 out of 9","10 out of 10","40"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","Alabaster","AL","35007","SHELBY","0.99550","7 out of 10","0 out of 9","7 out of 10","0.99323","5 out of 10","0 out of 9","5 out of 10","0.98783","5 out of 10","0 out of 9","5 out of 10","0.97059","3 out of 10","4 out of 9","4 out of 10","0.98886","8 out of 10","4 out of 9","8 out of 10","29"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","Sheffield","AL","35660","COLBERT","0.99438","6 out of 10","5 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.99401","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.99490","9 out of 10","6 out of 9","9 out of 10","32"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","Ozark","AL","36360","DALE","1.00000","10 out of 10","9 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.93548","0 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available","1.00000","10 out of 10","0 out of 9","10 out of 10","32"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","Centre","AL","35960","CHEROKEE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","Montgomery","AL","36116","MONTGOMERY","0.97663","0 out of 10","0 out of 9","0 out of 10","0.98141","0 out of 10","3 out of 9","3 out of 10","0.95875","0 out of 10","0 out of 9","0 out of 10","0.97093","3 out of 10","0 out of 9","3 out of 10","0.94154","0 out of 10","2 out of 9","2 out of 10","8"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","Montgomery","AL","36106","MONTGOMERY","0.99865","9 out of 10","8 out of 9","9 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97397","0 out of 10","0 out of 9","0 out of 10","0.94841","0 out of 10","1 out of 9","1 out of 10","0.97484","5 out of 10","3 out of 9","5 out of 10","25"
