Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","Dothan","AL","36301","HOUSTON","0.875391","10 out of 10","9 out of 9","10 out of 10","0.871416","0 out of 10","0 out of 9","0 out of 10","0.884428","1 out of 10","0 out of 9","1 out of 10","0.434295","10 out of 10","9 out of 9","10 out of 10","1.796","0 out of 10","0 out of 9","0 out of 10"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","Boaz","AL","35957","MARSHALL","0.838771","Not Available","Not Available","Not Available","0.867995","0 out of 10","3 out of 9","3 out of 10","0.880237","0 out of 10","3 out of 9","3 out of 10","0.472815","8 out of 10","7 out of 9","8 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","Florence","AL","35631","LAUDERDALE","0.832113","0 out of 10","1 out of 9","1 out of 10","0.828226","0 out of 10","0 out of 9","0 out of 10","0.888438","3 out of 10","6 out of 9","6 out of 10","0.482888","8 out of 10","9 out of 9","9 out of 10","0.351","2 out of 10","2 out of 9","2 out of 10"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","Opp","AL","36467","COVINGTON","0.855617","Not Available","Not Available","Not Available","0.869788","0 out of 10","0 out of 9","0 out of 10","0.881250","0 out of 10","6 out of 9","6 out of 10","0.469084","8 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","Luverne","AL","36049","CRENSHAW","0.857202","Not Available","Not Available","Not Available","0.877553","Not Available","Not Available","Not Available","0.888299","Not Available","Not Available","Not Available","0.499930","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","Birmingham","AL","35235","JEFFERSON","0.860996","9 out of 10","9 out of 9","9 out of 10","0.866613","0 out of 10","0 out of 9","0 out of 10","0.857413","0 out of 10","4 out of 9","4 out of 10","0.426298","10 out of 10","9 out of 9","10 out of 10","0.900","0 out of 10","0 out of 9","0 out of 10"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","Fort Payne","AL","35968","DE KALB","0.810956","0 out of 10","Not Available","0 out of 10","0.885354","2 out of 10","3 out of 9","3 out of 10","0.813502","0 out of 10","0 out of 9","0 out of 10","0.583249","2 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","Alabaster","AL","35007","SHELBY","0.867486","10 out of 10","9 out of 9","10 out of 10","0.870218","0 out of 10","0 out of 9","0 out of 10","0.878759","0 out of 10","3 out of 9","3 out of 10","0.384620","10 out of 10","9 out of 9","10 out of 10","0.224","5 out of 10","0 out of 9","5 out of 10"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","Sheffield","AL","35660","COLBERT","0.842043","Not Available","Not Available","Not Available","0.866368","0 out of 10","0 out of 9","0 out of 10","0.871293","0 out of 10","0 out of 9","0 out of 10","0.368661","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","Ozark","AL","36360","DALE","0.857717","Not Available","Not Available","Not Available","0.891761","5 out of 10","Not Available","5 out of 10","0.890415","4 out of 10","4 out of 9","4 out of 10","0.530011","5 out of 10","4 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","Centre","AL","35960","CHEROKEE","Not Available","Not Available","Not Available","Not Available","0.860561","Not Available","Not Available","Not Available","0.901553","8 out of 10","8 out of 9","8 out of 10","0.495322","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","Montgomery","AL","36116","MONTGOMERY","0.860169","8 out of 10","7 out of 9","8 out of 10","0.855766","0 out of 10","0 out of 9","0 out of 10","0.881043","0 out of 10","5 out of 9","5 out of 10","0.422027","10 out of 10","9 out of 9","10 out of 10","0.433","1 out of 10","4 out of 9","4 out of 10"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","Montgomery","AL","36106","MONTGOMERY","0.850277","2 out of 10","6 out of 9","6 out of 10","0.890562","5 out of 10","0 out of 9","5 out of 10","0.884482","1 out of 10","6 out of 9","6 out of 10","0.385416","10 out of 10","9 out of 9","10 out of 10","0.627","0 out of 10","2 out of 9","2 out of 10"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","Opelika","AL","36801","LEE","0.855490","5 out of 10","7 out of 9","7 out of 10","0.865636","0 out of 10","0 out of 9","0 out of 10","0.875764","0 out of 10","0 out of 9","0 out of 10","0.543261","4 out of 10","2 out of 9","4 out of 10","0.949","0 out of 10","0 out of 9","0 out of 10"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","Wedowee","AL","36278","RANDOLPH","0.855236","Not Available","Not Available","Not Available","0.886118","Not Available","Not Available","Not Available","0.888840","3 out of 10","6 out of 9","6 out of 10","0.494356","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","0.860470","8 out of 10","8 out of 9","8 out of 10","0.885052","2 out of 10","2 out of 9","2 out of 10","0.897719","7 out of 10","8 out of 9","8 out of 10","0.503810","7 out of 10","8 out of 9","8 out of 10","0.749","0 out of 10","0 out of 9","0 out of 10"
