Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PN-3b Performance Rate,PN-3b Achievement Points,PN-3b Improvement Points,PN-3b Measure Score,PN-6 Performance Rate,PN-6 Achievement Points,PN-6 Improvement Points,PN-6 Measure Score,PN Condition/Procedure Score
"380022","SAMARITAN ALBANY GENERAL HOSPITAL","1046 6TH AVENUE SW","Albany","OR","97321","LINN","0.91071","0 out of 10","0 out of 9","0 out of 10","0.92857","0 out of 10","1 out of 9","1 out of 10","1"
"150150","DUPONT HOSPITAL LLC","2520 E DUPONT RD","Fort Wayne","IN","46825","ALLEN","1.00000","10 out of 10","0 out of 9","10 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","20"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","Russellville","AL","35653","FRANKLIN","1.00000","10 out of 10","9 out of 9","10 out of 10","0.97297","4 out of 10","0 out of 9","4 out of 10","14"
"390097","HOLY REDEEMER HOSPITAL AND MEDICAL CENTER","1648 HUNTINGDON PIKE","Meadowbrook","PA","19046","MONTGOMERY","0.98846","5 out of 10","0 out of 9","5 out of 10","0.97391","4 out of 10","6 out of 9","6 out of 10","11"
"500084","VALLEY GENERAL HOSPITAL","14701 179TH SE","Monroe","WA","98272","SNOHOMISH","0.98551","4 out of 10","0 out of 9","4 out of 10","0.94737","0 out of 10","3 out of 9","3 out of 10","7"
"360014","OHIOHEALTH O'BLENESS HOSPITAL","55 HOSPITAL DRIVE","Athens","OH","45701","ATHENS","0.95238","0 out of 10","1 out of 9","1 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","11"
"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","Russellville","AR","72801","POPE","0.98710","4 out of 10","0 out of 9","4 out of 10","0.93939","0 out of 10","0 out of 9","0 out of 10","4"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","Goldsboro","NC","27534","WAYNE","0.95833","0 out of 10","4 out of 9","4 out of 10","0.99333","8 out of 10","7 out of 9","8 out of 10","12"
"110015","TANNER MEDICAL CENTER VILLA RICA","601 DALLAS HIGHWAY","Villa Rica","GA","30180","CARROLL","0.96190","0 out of 10","0 out of 9","0 out of 10","0.98734","7 out of 10","5 out of 9","7 out of 10","7"
"140294","CROSSROADS COMMUNITY HOSPITAL","8 DOCTORS PARK ROAD","Mount Vernon","IL","62864","JEFFERSON","0.99010","5 out of 10","5 out of 9","5 out of 10","0.97826","5 out of 10","0 out of 9","5 out of 10","10"
"100051","SOUTH LAKE HOSPITAL","1900 DON WICKHAM DR","Clermont","FL","34711","LAKE","0.94340","0 out of 10","0 out of 9","0 out of 10","0.94949","0 out of 10","0 out of 9","0 out of 10","0"
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","Niagara Falls","NY","14302","NIAGARA","0.99115","6 out of 10","5 out of 9","6 out of 10","1.00000","10 out of 10","9 out of 9","10 out of 10","16"
"330332","ST JOSEPH HOSPITAL","4295 HEMPSTEAD TURNPIKE","Bethpage","NY","11714","NASSAU","0.98919","5 out of 10","6 out of 9","6 out of 10","0.95726","0 out of 10","0 out of 9","0 out of 10","6"
"450865","SETON SOUTHWEST HOSPITAL","7900 FM 1826","Austin","TX","78737","TRAVIS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
