time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-07-02T23:16:03.000Z,56.7152,-155.4884,5.4,3.6,ml,,,,1.08,ak,ak11640129,2015-07-03T07:18:40.420Z,"99km N of Chirikof Island, Alaksa",earthquake
2015-07-02T22:40:35.240Z,36.8015,-97.7167,5,3,mb_lg,,46,0.185,0.29,us,us10002n4d,2015-07-02T23:00:27.055Z,"1km ESE of Medford, Oklahoma",earthquake
2015-07-02T22:31:28.190Z,-23.0587,-14.0431,10,4.8,mb,,99,30.883,0.62,us,us10002n4f,2015-07-03T06:34:01.780Z,"Southern Mid-Atlantic Ridge",earthquake
2015-07-02T19:38:39.760Z,32.981,-115.5813333,11.718,3.57,ml,67,63,0.0571,0.23,ci,ci37196663,2015-07-02T20:42:21.720Z,"5km W of Brawley, California",earthquake
2015-07-02T19:22:44.570Z,-32.2014,-177.9748,35,5,mb,,69,2.947,0.91,us,us10002n2x,2015-07-03T03:25:11.833Z,"122km SE of L'Esperance Rock, New Zealand",earthquake
2015-07-02T19:06:28.220Z,-32.4952,-176.4412,37.72,4.9,mb,,234,3.483,0.97,us,us10002n2l,2015-07-03T03:09:00.277Z,"260km ESE of L'Esperance Rock, New Zealand",earthquake
2015-07-02T18:24:55.000Z,51.548,-175.7676,40.6,4.1,ml,,,,0.75,ak,ak11639972,2015-07-03T02:27:38.059Z,"71km ESE of Adak, alaska",earthquake
2015-07-02T15:06:46.000Z,55.9723,-156.1441,41.2,3.3,ml,,,,0.86,ak,ak11639884,2015-07-02T23:09:14.453Z,"36km WNW of Chirikof Island, Alaska",earthquake
2015-07-02T15:01:10.650Z,-5.9841,147.335,82.79,5.3,mb,,69,3.403,0.7,us,us10002n0i,2015-07-02T21:12:34.405Z,"90km NNE of Lae, Papua New Guinea",earthquake
2015-07-02T13:36:20.770Z,11.8668,142.4645,45,4.6,mb,,137,22.475,0.62,us,us10002n0a,2015-07-02T21:38:58.880Z,"285km WSW of Merizo Village, Guam",earthquake
2015-07-02T07:26:49.470Z,-34.6926,-16.1809,10,5.7,mb,,61,20.877,1,us,us10002mzh,2015-07-02T15:29:19.673Z,"Southern Mid-Atlantic Ridge",earthquake
2015-07-02T07:18:24.270Z,34.4411,73.7036,10,5.4,mb,,62,0.867,1.09,us,us10002mzg,2015-07-02T16:19:42.789Z,"22km ENE of Muzaffarabad, Pakistan",earthquake
2015-07-02T07:04:32.000Z,-7.4327,120.222,413.11,4.9,mb,,57,2.326,0.97,us,us10002mzb,2015-07-02T15:07:02.868Z,"95km NNW of Congkar, Indonesia",earthquake
2015-07-02T07:03:23.790Z,53.1083,173.0287,23.49,4.8,mb,,130,0.752,0.91,us,us10002mzc,2015-07-02T22:27:31.356Z,"31km NNW of Attu Station, Alaska",earthquake
2015-07-02T06:05:46.840Z,38.5198,141.8613,61.57,4.6,mb,,133,1.065,1.01,us,us10002mym,2015-07-02T12:55:55.168Z,"50km ENE of Ishinomaki, Japan",earthquake
2015-07-02T04:03:45.700Z,19.0249,-66.365,40,3.2,Md,14,230.4,0.56593863,0.31,pr,pr15183001,2015-07-02T12:06:24.867Z,"61km N of Brenas, Puerto Rico",earthquake
2015-07-02T03:37:41.200Z,18.5076,-68.657,135,3.4,Md,9,342,1.12379242,0.1,pr,pr15183002,2015-07-02T11:40:16.262Z,"8km NNE of San Rafael del Yuma, Dominican Republic",earthquake
